               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12177,            0.043353,            0.029768,            0.002907,            0.035714,           0.0025111,          0.00075334,            0.070635,            0.037029,            0.019234,              0.0928,              0.0008,              0.0008
                   1,             0.10973,            0.041317,            0.029381,           0.0030864,            0.035714,           0.0026316,          0.00076227,            0.068252,            0.037587,            0.019418,            0.084666,           0.0016663,           0.0016663
                   2,             0.11105,            0.051718,            0.030018,            0.013393,             0.14286,            0.009787,           0.0019827,            0.059402,            0.041644,            0.018681,            0.076497,            0.002497,            0.002497
                   3,             0.10167,            0.047824,            0.027452,            0.010333,             0.10714,           0.0084537,           0.0023254,            0.060357,            0.038687,            0.018345,            0.068292,           0.0032921,           0.0032921
                   4,            0.096431,             0.04592,            0.027977,            0.013528,             0.14286,            0.011383,           0.0042386,            0.056812,            0.037756,            0.018484,            0.060052,           0.0040515,           0.0040515
                   5,            0.091085,            0.052409,            0.027859,            0.012451,                0.25,            0.017734,           0.0050205,            0.059217,            0.036592,            0.018637,            0.051775,           0.0047753,           0.0047753
                   6,            0.083608,            0.050022,            0.026544,             0.19159,            0.035714,            0.070953,            0.016327,            0.052239,            0.034826,            0.017926,            0.043463,           0.0054634,           0.0054634
                   7,            0.084553,            0.050901,            0.024653,             0.17039,             0.17857,             0.11436,            0.035333,            0.057785,            0.029503,            0.018044,            0.035116,           0.0061159,           0.0061159
                   8,              0.0867,            0.046318,            0.024452,             0.17039,             0.17857,             0.11436,            0.035333,            0.057785,            0.029503,            0.018044,            0.026733,           0.0067328,           0.0067328
                   9,            0.086308,            0.043241,            0.028241,             0.12741,             0.17857,            0.076095,            0.033981,            0.054748,            0.030922,            0.018759,            0.018314,            0.007314,            0.007314
                  10,            0.077645,            0.049662,            0.024715,             0.19617,              0.0976,            0.063502,            0.033379,            0.054748,            0.030922,            0.018759,           0.0098596,           0.0078596,           0.0078596
                  11,            0.079145,            0.038698,            0.027037,             0.10715,            0.071429,            0.059069,            0.022083,            0.052766,            0.029957,            0.018961,            0.007822,            0.007822,            0.007822
                  12,            0.077522,            0.047224,            0.025894,             0.13494,             0.10714,            0.095621,             0.03126,            0.052766,            0.029957,            0.018961,            0.007822,            0.007822,            0.007822
                  13,            0.077275,            0.045113,            0.028655,             0.16788,             0.28571,             0.16746,            0.043947,            0.047506,             0.02931,            0.018939,            0.007624,            0.007624,            0.007624
                  14,            0.080588,            0.048428,            0.027766,             0.10839,            0.071429,            0.058157,            0.013123,            0.064497,            0.025603,            0.018071,            0.007426,            0.007426,            0.007426
                  15,            0.088559,            0.037666,            0.025486,             0.10839,            0.071429,            0.058157,            0.013123,            0.064497,            0.025603,            0.018071,            0.007228,            0.007228,            0.007228
                  16,             0.08699,            0.045835,            0.023557,             0.23815,             0.42857,             0.31412,             0.10291,            0.048602,            0.027298,             0.01737,             0.00703,             0.00703,             0.00703
                  17,            0.078034,             0.04185,            0.024949,             0.23815,             0.42857,             0.31412,             0.10291,            0.048602,            0.027298,             0.01737,            0.006832,            0.006832,            0.006832
                  18,            0.075144,            0.044366,            0.022237,             0.25411,             0.42857,             0.24362,             0.10067,            0.049234,            0.026311,            0.016694,            0.006634,            0.006634,            0.006634
                  19,            0.080039,            0.047121,            0.024165,             0.25411,             0.42857,             0.24362,             0.10067,            0.049234,            0.026311,            0.016694,            0.006436,            0.006436,            0.006436
                  20,            0.077029,             0.04633,            0.025833,             0.34382,             0.53571,             0.37501,             0.14289,            0.044048,            0.026838,            0.016291,            0.006238,            0.006238,            0.006238
                  21,            0.074527,            0.053111,            0.024592,              0.3921,             0.41125,             0.37817,             0.15066,            0.048858,            0.025354,            0.016127,             0.00604,             0.00604,             0.00604
                  22,            0.080305,            0.045069,            0.025625,              0.3921,             0.41125,             0.37817,             0.15066,            0.048858,            0.025354,            0.016127,            0.005842,            0.005842,            0.005842
                  23,            0.073707,            0.036122,            0.024869,             0.18242,             0.60907,              0.2094,            0.079657,            0.047775,            0.024822,            0.015866,            0.005644,            0.005644,            0.005644
                  24,            0.072658,            0.043882,            0.023075,             0.18242,             0.60907,              0.2094,            0.079657,            0.047775,            0.024822,            0.015866,            0.005446,            0.005446,            0.005446
                  25,            0.068786,             0.03924,            0.023509,             0.22336,             0.64286,             0.31667,                0.17,            0.042726,            0.024497,            0.015905,            0.005248,            0.005248,            0.005248
                  26,            0.068387,            0.046569,            0.024033,             0.22336,             0.64286,             0.31667,                0.17,            0.042726,            0.024497,            0.015905,             0.00505,             0.00505,             0.00505
                  27,            0.067281,            0.041332,            0.023584,              0.2799,             0.51128,              0.3797,             0.19816,            0.038732,            0.024068,            0.015788,            0.004852,            0.004852,            0.004852
                  28,            0.061906,            0.044125,             0.02068,              0.2799,             0.51128,              0.3797,             0.19816,            0.038732,            0.024068,            0.015788,            0.004654,            0.004654,            0.004654
                  29,            0.060819,            0.038519,            0.023456,             0.39303,             0.51553,             0.43879,             0.23804,            0.038006,            0.023119,            0.015687,            0.004456,            0.004456,            0.004456
                  30,            0.062995,            0.035704,            0.023712,             0.37179,             0.71429,             0.42773,             0.17241,            0.042973,            0.022162,            0.015192,            0.004258,            0.004258,            0.004258
                  31,            0.062612,            0.036188,            0.022463,             0.37179,             0.71429,             0.42773,             0.17241,            0.042973,            0.022162,            0.015192,             0.00406,             0.00406,             0.00406
                  32,            0.068621,            0.037491,            0.022175,             0.72746,             0.60714,             0.71797,             0.30852,            0.038197,             0.02208,            0.014933,            0.003862,            0.003862,            0.003862
                  33,            0.064709,            0.034747,            0.022792,             0.72746,             0.60714,             0.71797,             0.30852,            0.038197,             0.02208,            0.014933,            0.003664,            0.003664,            0.003664
                  34,             0.06024,            0.041728,            0.020695,             0.85194,             0.73626,             0.83898,             0.29482,            0.036015,            0.022486,            0.014632,            0.003466,            0.003466,            0.003466
                  35,            0.062811,             0.04287,            0.022597,             0.85194,             0.73626,             0.83898,             0.29482,            0.036015,            0.022486,            0.014632,            0.003268,            0.003268,            0.003268
                  36,            0.051984,            0.034529,            0.019231,             0.85862,              0.7907,             0.86834,             0.29696,            0.033989,            0.021988,            0.014529,             0.00307,             0.00307,             0.00307
                  37,            0.056078,            0.037692,            0.021542,             0.57893,             0.64286,             0.66587,             0.28931,             0.03567,            0.021391,            0.014441,            0.002872,            0.002872,            0.002872
                  38,            0.059699,            0.041932,            0.021763,             0.57893,             0.64286,             0.66587,             0.28931,             0.03567,            0.021391,            0.014441,            0.002674,            0.002674,            0.002674
                  39,            0.058793,            0.035669,            0.019878,             0.71591,             0.67857,             0.74231,             0.28521,            0.034706,            0.021436,            0.014186,            0.002476,            0.002476,            0.002476
                  40,            0.060882,            0.036024,            0.022351,             0.71591,             0.67857,             0.74231,             0.28521,            0.034706,            0.021436,            0.014186,            0.002278,            0.002278,            0.002278
                  41,             0.05755,            0.034028,            0.020365,             0.80477,             0.67857,             0.81584,             0.40015,            0.031366,            0.021024,            0.014002,             0.00208,             0.00208,             0.00208
                  42,            0.056704,            0.032056,            0.021369,             0.80477,             0.67857,             0.81584,             0.40015,            0.031366,            0.021024,            0.014002,            0.001882,            0.001882,            0.001882
                  43,            0.056183,            0.034938,            0.019285,             0.80823,             0.68353,             0.85929,             0.47398,            0.029184,            0.021183,            0.014031,            0.001684,            0.001684,            0.001684
                  44,            0.050826,            0.029995,            0.021546,             0.80823,             0.68353,             0.85929,             0.47398,            0.029184,            0.021183,            0.014031,            0.001486,            0.001486,            0.001486
                  45,            0.052779,            0.032566,            0.020291,              0.8139,             0.67931,               0.862,             0.44609,            0.028995,            0.021123,            0.013953,            0.001288,            0.001288,            0.001288
                  46,            0.057218,            0.033184,            0.020716,             0.84056,             0.64286,             0.81338,             0.41894,            0.029445,            0.020366,            0.013752,             0.00109,             0.00109,             0.00109
                  47,            0.054476,            0.033732,            0.020721,             0.84056,             0.64286,             0.81338,             0.41894,            0.029445,            0.020366,            0.013752,            0.000892,            0.000892,            0.000892
                  48,            0.056433,            0.038953,            0.020432,             0.81366,             0.67857,             0.84152,             0.41439,            0.028985,            0.020161,            0.013599,            0.000694,            0.000694,            0.000694
                  49,            0.053107,            0.038023,             0.01811,             0.81366,             0.67857,             0.84152,             0.41439,            0.028985,            0.020161,            0.013599,            0.000496,            0.000496,            0.000496
